City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,tonghua,41.7201,125.9219,284.54,48,100,5.31,CN,1746421672
154,beloyarskiy,63.7119,66.6722,273.65,99,100,2.67,RU,1746421673
155,abaza,52.655,90.0928,291.02,37,80,1.64,RU,1746421674
156,siasi,5.5462,120.8145,301.43,71,97,2.08,PH,1746421675
157,walvis bay,-22.9575,14.5053,290.57,64,0,0.67,NA,1746421676
158,malango,-2.9627,119.9001,299.9,78,97,1.01,ID,1746421677
159,valdivia,-39.8142,-73.2459,277.2,98,82,0.36,CL,1746421679
160,talanga,14.4,-87.0833,296.24,90,98,1.93,HN,1746421680
161,hilo,19.7297,-155.09,297.17,81,75,1.54,US,1746421681
162,sinabang,2.4803,96.3801,303.53,65,88,0.3,ID,1746421682
163,dobresti,46.85,22.3,287.16,91,35,1.03,RO,1746421683
164,barth,54.3635,12.7249,278.24,78,100,2.68,DE,1746421685
165,suez,29.9737,32.5263,291.46,67,0,0.97,EG,1746421686
166,cabedelo,-6.9811,-34.8339,296.52,87,75,2.84,BR,1746421687
167,toksovo,60.1532,30.5165,272.88,66,46,4.16,RU,1746421688
168,labrador city,52.9463,-66.9114,268.1,74,100,4.63,CA,1746421689
169,flin flon,54.7682,-101.865,281.04,73,60,3.69,CA,1746421690
170,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,93,100,2.0,RU,1746421691
171,viedma,-40.8135,-62.9967,280.74,48,2,2.67,AR,1746421692
172,new norfolk,-42.7826,147.0587,295.33,52,80,3.93,AU,1746421693
173,san luis de la loma,17.2706,-100.8939,298.98,71,92,0.59,MX,1746421694
174,kapuskasing,49.4169,-82.4331,275.0,65,0,2.12,CA,1746421696
175,la passe,45.5549,-0.8967,281.69,82,35,7.24,FR,1746421697
176,akhtubinsk,48.2795,46.1722,292.2,35,80,3.73,RU,1746421698
177,polyarnyy,69.1989,33.4478,272.76,82,100,8.44,RU,1746421699
178,lhasa,29.65,91.1,287.55,30,88,3.55,CN,1746421700
179,hasaki,35.7333,140.8333,290.33,57,33,6.01,JP,1746421701
180,askiz,53.1319,90.5264,288.21,35,82,1.2,RU,1746421702
181,carnarvon,-24.8667,113.6333,299.87,46,100,6.38,AU,1746421703
182,coahuayana de hidalgo,18.7,-103.6583,296.31,90,58,0.48,MX,1746421704
183,aasiaat,68.7098,-52.8699,268.51,81,100,0.42,GL,1746421706
184,trinidad,-14.8333,-64.9,296.33,96,92,1.05,BO,1746421707
185,lihue,21.9789,-159.3672,296.92,83,20,5.66,US,1746421708
186,gogrial,8.5332,28.1004,300.39,49,100,1.66,SS,1746421709
187,paradahan,14.3234,120.8605,307.36,63,81,0.09,PH,1746421710
188,eaglehawk,-36.7333,144.25,296.2,42,33,5.4,AU,1746421711
189,utrik,11.2278,169.8474,300.24,74,97,7.13,MH,1746421712
190,bikenibeu village,1.3673,173.1241,302.13,84,40,4.63,KI,1746421713
191,bamboo flat,11.7,92.7167,303.2,74,40,1.03,IN,1746421714
192,papatowai,-46.5619,169.4708,285.54,76,18,1.47,NZ,1746421715
193,namtsy,62.7161,129.6658,276.45,71,81,4.6,RU,1746421716
194,alice springs,-23.7,133.8833,299.9,26,46,4.63,AU,1746421718
195,susuman,62.7833,148.1667,272.41,84,100,2.07,RU,1746421719
196,east london,-33.0153,27.9116,288.67,63,0,4.12,ZA,1746421226
197,offa,8.15,4.7167,295.69,95,38,3.32,NG,1746421721
198,zholymbet,51.7433,71.7122,289.32,33,0,6.84,KZ,1746421722
199,roma,43.2128,-75.4557,287.42,97,100,1.54,US,1746421711
200,port alfred,-33.5906,26.891,291.32,38,3,3.71,ZA,1746421724
201,port lavaca,28.615,-96.6261,296.47,70,0,5.14,US,1746421726
202,nguigmi,14.2495,13.1092,296.89,15,41,5.16,NE,1746421727
203,aripuana,-9.1667,-60.6333,297.42,85,100,0.84,BR,1746421728
204,pangody,65.85,74.4859,273.68,100,100,5.88,RU,1746421729
205,port lincoln,-34.7333,135.8667,295.29,53,46,8.53,AU,1746421730
206,bodo,67.28,14.405,274.23,96,100,7.2,NO,1746421731
207,lazaro cardenas,17.9583,-102.2,299.38,82,80,2.22,MX,1746421732
208,ishim,56.1128,69.4902,286.16,62,52,6.72,RU,1746421733
209,malakal,9.5334,31.6605,301.87,45,98,0.58,SS,1746421734
210,pacific grove,36.6177,-121.9166,285.58,86,0,1.79,US,1746421736
211,riberalta,-10.9833,-66.1,296.0,93,83,0.44,BO,1746421737
212,severo-yeniseyskiy,60.3725,93.0408,277.8,84,100,2.45,RU,1746421738
213,canico,32.6333,-16.85,289.1,91,20,2.57,PT,1746421739
214,la sarre,48.8002,-79.1996,273.77,85,1,3.16,CA,1746421740
215,jwaneng,-24.6004,24.7303,283.3,75,0,4.81,BW,1746421741
216,al jawf,29.5,38.75,290.38,47,0,4.55,SA,1746421742
217,gulf breeze,30.3571,-87.1639,293.68,76,0,4.63,US,1746421743
218,kangding,30.0513,101.9603,288.22,82,98,2.29,CN,1746421744
219,montepuez,-13.1256,38.9997,293.39,83,99,4.27,MZ,1746421683
220,atherton,53.5237,-2.4935,278.31,84,26,2.84,GB,1746421746
221,al bawiti,28.3492,28.8659,291.78,55,0,1.12,EG,1746421748
222,isla mujeres,21.2311,-86.731,300.42,80,7,5.74,MX,1746421749
223,san pedro pochutla,15.7333,-96.4667,299.66,78,100,2.49,MX,1746421750
224,codrington,-38.2667,141.9667,298.27,31,64,8.95,AU,1746421751
225,ambodifotatra,-16.9833,49.85,300.22,72,20,5.2,MG,1746421623
226,molchanovo,57.5817,83.7692,286.49,50,98,3.58,RU,1746421753
227,saint croix,17.7397,-64.7388,298.4,88,75,2.57,VI,1746421757
228,volney,43.3428,-76.3577,286.98,93,100,0.0,US,1746421758
229,geraldton,-28.7667,114.6,297.38,43,99,4.63,AU,1746421759
230,gazli,40.1333,63.45,305.19,8,4,8.14,UZ,1746421760
231,macas,-2.3167,-78.1167,293.04,98,96,1.17,EC,1746421750
232,anadyr,64.75,177.4833,267.43,79,20,7.0,RU,1746421762
233,road town,18.4167,-64.6167,298.48,74,9,6.38,VG,1746421763
234,kish,26.5578,54.0194,305.3,55,0,7.2,IR,1746421764
235,kljuc,44.535,16.7722,285.59,79,100,2.22,BA,1746421766
236,champerico,14.3,-91.9167,302.84,88,88,4.28,GT,1746421767
237,dunedin,-45.8742,170.5036,285.82,75,7,2.68,NZ,1746421768
238,al kharj,24.155,47.3346,305.47,27,88,2.11,SA,1746421769
239,sao gabriel da cachoeira,-0.1303,-67.0892,295.6,99,60,0.97,BR,1746421770
240,tamalpais valley,37.8796,-122.5458,289.06,73,0,0.45,US,1746421771
241,nouadhibou,20.931,-17.0347,290.65,86,100,6.43,MR,1746421772
242,ayorou,14.7308,0.9174,301.51,15,11,3.89,NE,1746421775
243,kulhudhuffushi,6.6221,73.07,302.42,75,99,3.04,MV,1746421776
244,januaria,-15.4833,-44.3667,291.5,72,24,1.31,BR,1746421777
